,Ord_ID,Prod_ID,Ship_ID,Cust_ID,Sales,Discount,Order_Quantity,Product_Base_Margin
0,Ord_1,Prod_1,SHP_1,Cust_1,26154,0.04,6,0.08
1,Ord_2,Prod_2,SHP_2,Cust_2,1012302,0.07,49,0.58
2,Ord_2,Prod_3,SHP_2,Cust_2,24457,0.01,27,0.39
3,Ord_3,Prod_4,SHP_4,Cust_3,49657595,0.08,30,0.58
4,Ord_4,Prod_2,SHP_5,Cust_4,39427,0.08,19,0.05
5,Ord_4,Prod_5,SHP_5,Cust_4,14669,0.05,21,0.37
6,Ord_5,Prod_1,SHP_6,Cust_5,90508,0.09,22,
7,Ord_5,Prod_3,SHP_6,Cust_5,9354,0.03,12,0.38
8,Ord_6,Prod_1,SHP_8,Cust_6,278182,0.07,21,
9,Ord_7,Prod_6,SHP_9,Cust_7,22841,0.07,44,0.38
10,Ord_8,Prod_6,SHP_10,Cust_8,19685,0.01,45,0.04
11,Ord_8,Prod_7,SHP_10,Cust_8,12456,0.04,32,0.53
12,Ord_9,Prod_2,SHP_11,Cust_9,71684,0.0,32,0.05
13,Ord_9,Prod_8,SHP_11,Cust_9,147433,0.04,31,0.71
14,Ord_10,Prod_3,SHP_13,Cust_10,8061,0.02,15,0.37
15,Ord_11,Prod_5,SHP_14,Cust_8,181549,0.03,46,0.53
16,Ord_12,Prod_9,SHP_15,Cust_11,24826,0.07,16,0.04
17,Ord_13,Prod_10,SHP_2477,Cust_12,446223,0.04,44,0.06
18,Ord_13,Prod_11,SHP_2477,Cust_12,663784,0.25,11,0.68
19,Ord_13,Prod_12,SHP_2477,Cust_12,1151,0.02,23,0.36
20,Ord_13,Prod_2,SHP_2477,Cust_12,51665,0.01,7,0.59
21,Ord_14,Prod_4,SHP_19,Cust_13,24809205,0.06,18,0.59
22,Ord_15,Prod_12,SHP_20,Cust_4,5903,0.01,13,0.38
23,Ord_15,Prod_7,SHP_20,Cust_4,9748,0.05,21,0.08
24,Ord_16,Prod_3,SHP_22,Cust_14,51183,0.01,33,0.37
25,Ord_16,Prod_8,SHP_22,Cust_14,18499,0.05,38,0.66
26,Ord_17,Prod_13,SHP_24,Cust_15,809,0.09,30,0.56
27,Ord_18,Prod_13,SHP_25,Cust_16,6724,0.06,23,0.54
28,Ord_19,Prod_14,SHP_26,Cust_14,1202823,0.01,25,0.38
29,Ord_20,Prod_1,SHP_27,Cust_4,37048,0.04,28,0.59
30,Ord_21,Prod_13,SHP_28,Cust_17,278,0.08,49,0.56
31,Ord_22,Prod_6,SHP_29,Cust_15,84532,0.06,21,0.36
32,Ord_22,Prod_8,SHP_29,Cust_15,6654,0.01,10,0.75
33,Ord_23,Prod_12,SHP_31,Cust_18,28207,0.03,39,0.38
34,Ord_23,Prod_4,SHP_31,Cust_18,426037,0.01,24,0.81
35,Ord_24,Prod_8,SHP_32,Cust_19,107849,0.08,27,0.55
36,Ord_25,Prod_15,SHP_33,Cust_20,355446,0.07,39,0.57
37,Ord_26,Prod_15,SHP_34,Cust_21,558633,0.09,49,0.64
38,Ord_26,Prod_3,SHP_34,Cust_21,19167,0.0,47,0.37
39,Ord_26,Prod_6,SHP_34,Cust_21,50764,0.01,18,0.04
40,Ord_27,Prod_15,SHP_37,Cust_22,1422382,0.09,30,0.06
41,Ord_28,Prod_3,SHP_38,Cust_23,4266,0.06,5,0.35
42,Ord_29,Prod_6,SHP_39,Cust_24,42732,0.0,21,0.37
43,Ord_30,Prod_4,SHP_40,Cust_25,820284,0.0,8,0.57
44,Ord_31,Prod_12,SHP_41,Cust_26,1476,0.01,5,0.36
45,Ord_32,Prod_2,SHP_42,Cust_13,8955,0.06,9,0.06
46,Ord_33,Prod_12,SHP_43,Cust_16,18783,0.03,50,0.37
47,Ord_33,Prod_4,SHP_43,Cust_16,12100515,0.04,30,0.58
48,Ord_33,Prod_6,SHP_43,Cust_16,4959,0.07,3,0.38
49,Ord_34,Prod_3,SHP_46,Cust_16,5938,0.01,7,0.39
50,Ord_35,Prod_8,SHP_47,Cust_3,128537,0.01,42,0.42
51,Ord_36,Prod_6,SHP_48,Cust_27,4891,0.01,11,0.35
52,Ord_37,Prod_6,SHP_49,Cust_28,12962,0.05,22,0.36
53,Ord_38,Prod_5,SHP_50,Cust_29,11897,0.09,12,0.55
54,Ord_39,Prod_4,SHP_51,Cust_30,618715,0.0,8,0.06
55,Ord_40,Prod_2,SHP_52,Cust_31,23903,0.01,3,0.55
56,Ord_40,Prod_3,SHP_52,Cust_31,38433,0.01,7,0.38
57,Ord_41,Prod_4,SHP_54,Cust_32,17333625,0.07,25,0.85
58,Ord_41,Prod_5,SHP_54,Cust_32,392242,0.08,44,0.67
59,Ord_42,Prod_6,SHP_55,Cust_33,20828,0.07,19,0.36
60,Ord_43,Prod_16,SHP_2587,Cust_34,962082,0.04,6,0.81
61,Ord_43,Prod_8,SHP_2587,Cust_34,15077,0.01,7,0.68
62,Ord_44,Prod_6,SHP_58,Cust_35,25548,0.04,40,0.37
63,Ord_45,Prod_13,SHP_59,Cust_36,31236,0.07,11,0.57
64,Ord_46,Prod_6,SHP_60,Cust_33,29613,0.04,47,0.39
65,Ord_47,Prod_1,SHP_61,Cust_37,43617,0.08,40,0.59
66,Ord_48,Prod_3,SHP_62,Cust_38,13629,0.05,18,0.38
67,Ord_49,Prod_10,SHP_63,Cust_25,54441,0.09,5,0.78
68,Ord_49,Prod_5,SHP_63,Cust_25,84409,0.04,41,0.49
69,Ord_49,Prod_8,SHP_63,Cust_25,131125,0.0,32,0.54
70,Ord_50,Prod_15,SHP_66,Cust_35,63962,0.02,22,
71,Ord_51,Prod_9,SHP_67,Cust_34,75177,0.05,50,0.38
72,Ord_52,Prod_2,SHP_68,Cust_39,100306,0.03,37,0.05
73,Ord_53,Prod_15,SHP_69,Cust_40,126672,0.04,4,0.56
74,Ord_54,Prod_6,SHP_71,Cust_24,36804,0.07,24,0.38
75,Ord_55,Prod_1,SHP_72,Cust_24,333898,0.0,40,0.81
76,Ord_56,Prod_3,SHP_73,Cust_39,2416,0.08,5,0.37
77,Ord_56,Prod_5,SHP_73,Cust_39,338993,0.08,35,0.59
78,Ord_56,Prod_6,SHP_73,Cust_39,27084,0.07,42,0.37
79,Ord_56,Prod_7,SHP_73,Cust_39,8941,0.01,46,0.83
80,Ord_57,Prod_2,SHP_76,Cust_42,27997,0.04,47,0.55
81,Ord_58,Prod_1,SHP_77,Cust_43,203956,0.04,7,0.08
82,Ord_59,Prod_15,SHP_80,Cust_44,1217582,0.02,36,0.57
83,Ord_59,Prod_6,SHP_80,Cust_44,158564,0.02,32,0.38
84,Ord_60,Prod_12,SHP_81,Cust_45,17626,0.07,44,0.39
85,Ord_61,Prod_10,SHP_84,Cust_46,465507,0.0,32,0.65
86,Ord_61,Prod_15,SHP_84,Cust_46,100876,0.01,44,0.57
87,Ord_61,Prod_8,SHP_84,Cust_46,160808,0.09,34,0.73
88,Ord_62,Prod_6,SHP_85,Cust_47,1122018,0.06,1,0.36
89,Ord_63,Prod_3,SHP_86,Cust_48,82052,0.01,50,0.37
90,Ord_64,Prod_11,SHP_87,Cust_49,6250936,0.01,29,0.75
